Attribute,Group,Outcome,Count,Actual positives,Actual negatives,Predicted positives,TP,FN,FP,TN,Observed outcome rate,Selection rate,Selection low,Selection high,TPR,TPR low,TPR high,FPR,FPR low,FPR high,FNR,Precision,Group accuracy,Group macro F1,Small group,Sparse outcome support
Debtor,0,Enrolled,767,140,627,183,86,54,97,530,0.18252933507170796,0.23859191655801826,0.20977732899620777,0.2700120336951675,0.6142857142857143,0.5316264521252486,0.6908404837264105,0.1547049441786284,0.1285097508580659,0.18510558459222778,0.38571428571428573,0.46994535519125685,0.7614080834419817,0.7155976693533775,False,False
Debtor,0,Graduate,767,415,352,406,349,66,57,295,0.5410691003911343,0.529335071707953,0.4939519114907679,0.5644258408256612,0.8409638554216867,0.8026730439213593,0.8730000506327634,0.16193181818181818,0.12713131914206627,0.20403176016063468,0.15903614457831325,0.8596059113300493,0.7614080834419817,0.7155976693533775,False,False
Debtor,1,Dropout,118,72,46,64,59,13,5,41,0.6101694915254238,0.5423728813559322,0.4525634999361512,0.6295102745382484,0.8194444444444444,0.7151944298987886,0.8913328585550414,0.10869565217391304,0.04733076082742689,0.23038103012631456,0.18055555555555555,0.921875,0.7627118644067796,0.6893251553494961,False,False
Debtor,1,Enrolled,118,19,99,23,10,9,13,86,0.16101694915254236,0.19491525423728814,0.13353979782234554,0.27552902596197765,0.5263157894736842,0.31707482511825114,0.7267049451255145,0.13131313131313133,0.07837166925941867,0.2117988453961293,0.47368421052631576,0.43478260869565216,0.7627118644067796,0.6893251553494961,False,False
Debtor,1,Graduate,118,27,91,31,21,6,10,81,0.2288135593220339,0.2627118644067797,0.19168832306387246,0.34869853987949,0.7777777777777778,0.5924270453692919,0.8939290451059105,0.10989010989010989,0.06079407536219415,0.19058928383883156,0.2222222222222222,0.6774193548387096,0.7627118644067796,0.6893251553494961,False,False
Tuition fees up to date,0,Dropout,110,95,15,100,93,2,7,8,0.8636363636363636,0.9090909090909091,0.8407019514690314,0.9498702119580463,0.9789473684210527,0.9264573686165072,0.9942076145484762,0.4666666666666667,0.24809225259746442,0.6988336984894921,0.021052631578947368,0.93,0.9090909090909091,0.6902430902430904,False,False
Tuition fees up to date,0,Enrolled,110,7,103,4,3,4,1,102,0.06363636363636363,0.03636363636363636,0.014230080586686157,0.08978813419595918,0.42857142857142855,0.15821692226262685,0.7495457695909742,0.009708737864077669,0.0017158473082714565,0.05295948514650271,0.5714285714285714,0.75,0.9090909090909091,0.6902430902430904,False,True
Tuition fees up to date,0,Graduate,110,8,102,6,4,4,2,100,0.07272727272727272,0.05454545454545454,0.025235483062071407,0.11391927231733298,0.5,0.21521252682444186,0.7847874731755582,0.0196078431372549,0.005393639125345434,0.06869443210562613,0.5,0.6666666666666666,0.9090909090909091,0.6902430902430904,False,True
Tuition fees up to date,1,Dropout,775,189,586,142,115,74,27,559,0.24387096774193548,0.1832258064516129,0.15757425336401604,0.2120023075181967,0.6084656084656085,0.5373805897015217,0.6752291376602094,0.04607508532423208,0.0318559675901751,0.06620696998492981,0.3915343915343915,0.8098591549295775,0.7406451612903225,0.6888435172394672,False,False
Tuition fees up to date,1,Enrolled,775,152,623,202,93,59,109,514,0.19612903225806452,0.26064516129032256,0.2309725134981571,0.29267902232119297,0.6118421052631579,0.5325219333033981,0.6856483113552809,0.17495987158908508,0.14714230646406518,0.20676145486894137,0.3881578947368421,0.4603960396039604,0.7406451612903225,0.6888435172394672,False,False
