Feature,Training impurity importance,Selected
cat__Application mode_7,0.0005230840816988999,False
cat__Previous qualification_3,0.0005206651779776573,False
cat__Mother's occupation_infrequent_sklearn,0.0005174904837572982,False
cat__Application order_6,0.00042652414871082546,False
cat__Father's occupation_1,0.0004117042670195289,False
cat__Mother's occupation_6,0.00035820518244504605,False
cat__Mother's occupation_1,0.0003289875182798594,False
cat__Mother's qualification_12,0.0003016596794531975,False
cat__Application mode_42,0.0002865953624080537,False
cat__Educational special needs_1,0.00028078390884548666,False
cat__Marital status_4,0.0002642396182622082,False
cat__Mother's qualification_infrequent_sklearn,0.00023713321712457398,False
cat__Mother's occupation_90,0.0002319870029904168,False
cat__Application mode_18,0.0002272887374584831,False
cat__Application mode_51,0.00021645903150516846,False
cat__International_1,0.00021607175738455457,False
cat__Course_9556,0.00021551426493150543,False
cat__Father's occupation_90,0.00021425501270915545,False
cat__International_0,0.00019875037970505132,False
cat__Previous qualification_2,0.0001712363442563971,False
cat__Father's qualification_infrequent_sklearn,0.00015071132413575612,False
cat__Father's qualification_39,0.0001485311414174612,False
cat__Educational special needs_0,0.00013697150629524764,False
cat__Father's qualification_12,0.00012183854405208749,False
cat__Previous qualification_40,0.00011569579543155992,False
cat__Nacionality_1,0.00010753293565380418,False
cat__Application mode_15,9.988346942601196e-05,False
cat__Mother's qualification_4,9.838043774983362e-05,False
cat__Nacionality_infrequent_sklearn,8.924866358681649e-05,False
cat__Father's qualification_4,8.48813602453512e-05,False
cat__Previous qualification_12,8.439964373751645e-05,False
cat__Previous qualification_infrequent_sklearn,8.287659652767384e-05,False
cat__Application mode_53,8.053295289639401e-05,False
cat__Mother's occupation_8,7.895795520357356e-05,False
cat__Mother's qualification_5,7.31839363069487e-05,False
cat__Application mode_5,6.519511602266024e-05,False
cat__Application mode_infrequent_sklearn,5.937815444647518e-05,False
cat__Father's qualification_5,5.7213162182891685e-05,False
cat__Previous qualification_42,4.472745268421499e-05,False
cat__Nacionality_41,2.860640381080822e-05,False
cat__Application mode_16,1.2233021473321739e-05,False
cat__Mother's occupation_191,8.226723241893848e-06,False
cat__Nacionality_6,7.822220077188677e-06,False
cat__Marital status_5,0.0,False
cat__Marital status_infrequent_sklearn,0.0,False
cat__Course_infrequent_sklearn,0.0,False
cat__Application order_infrequent_sklearn,0.0,False
cat__Mother's occupation_99,0.0,False
cat__Father's occupation_99,0.0,False
